tropicalis sample-ids,before filtering,after filtering,reads passed filter,reads failed due to low quality,reads failed due to too many N,reads failed due to too short,reads with adapter trimmed ,bases trimmed due to adapters,
CS2273_1,"total reads: 4027465
total bases: 604119750
Q20 bases: 593239732(98.199%)
Q30 bases: 570399746(94.4183%)
","total reads: 4011920
total bases: 601569845
Q20 bases: 591167823(98.2709%)
Q30 bases: 568569070(94.5142%)
",8023840,30902,8,180,14770,532983,
CS2273_2,"total reads: 4027465
total bases: 604119750
Q20 bases: 587877769(97.3115%)
Q30 bases: 556099436(92.0512%)
","total reads: 4011920
total bases: 601579562
Q20 bases: 586253225(97.4523%)
Q30 bases: 554809110(92.2254%)
",,,,,,,
CS2307_1,"total reads: 4873042
total bases: 730956300
Q20 bases: 714458239(97.7429%)
Q30 bases: 683877693(93.5593%)
","total reads: 4848144
total bases: 726951756
Q20 bases: 711247865(97.8398%)
Q30 bases: 681070841(93.6886%)
",9696288,48924,310,562,22356,848103,
CS2307_2,"total reads: 4873042
total bases: 730956300
Q20 bases: 708064879(96.8683%)
Q30 bases: 667150846(91.271%)
","total reads: 4848144
total bases: 726953638
Q20 bases: 705520644(97.0517%)
Q30 bases: 665147623(91.4979%)
",,,,,,,
CS2308_1,"total reads: 3801119
total bases: 570167850
Q20 bases: 559994592(98.2157%)
Q30 bases: 538434899(94.4345%)
","total reads: 3782791
total bases: 567195984
Q20 bases: 557556820(98.3006%)
Q30 bases: 536273368(94.5482%)
",7565582,36402,2,252,16060,616961,
CS2308_2,"total reads: 3801119
total bases: 570167850
Q20 bases: 552926409(96.9761%)
Q30 bases: 520458294(91.2816%)
","total reads: 3782791
total bases: 567199401
Q20 bases: 551068724(97.1561%)
Q30 bases: 519005577(91.5032%)
",,,,,,,
CS2322_1,"total reads: 3760710
total bases: 564106500
Q20 bases: 555422946(98.4607%)
Q30 bases: 535806381(94.9832%)
","total reads: 3747172
total bases: 561918282
Q20 bases: 553640022(98.5268%)
Q30 bases: 534214660(95.0698%)
",7494344,26852,8,216,10402,355737,
CS2322_2,"total reads: 3760710
total bases: 564106500
Q20 bases: 551894534(97.8352%)
Q30 bases: 526202253(93.2807%)
","total reads: 3747172
total bases: 561926199
Q20 bases: 550479173(97.9629%)
Q30 bases: 525063117(93.4399%)
",,,,,,,
CS2325_1,"total reads: 4798873
total bases: 719830950
Q20 bases: 703511276(97.7328%)
Q30 bases: 673389381(93.5483%)
","total reads: 4774312
total bases: 715712433
Q20 bases: 700191553(97.8314%)
Q30 bases: 670475319(93.6794%)
",9548624,48050,312,760,41358,1222041,
CS2325_2,"total reads: 4798873
total bases: 719830950
Q20 bases: 699514079(97.1775%)
Q30 bases: 662241769(91.9996%)
","total reads: 4774312
total bases: 715710614
Q20 bases: 696846546(97.3643%)
Q30 bases: 660120129(92.2328%)
",,,,,,,
